size;insert;comb;count
605000;0;176;6
606000;0;179;6
607000;0;178;5
608000;0;178;6
609000;0;179;6
610000;0;178;6
611000;0;179;6
612000;0;181;6
613000;0;181;6
614000;0;180;6
615000;0;183;6
616000;0;182;6
617000;0;183;6
618000;0;183;6
619000;0;182;6
620000;0;182;6
621000;0;185;6
622000;0;183;5
623000;0;183;6
624000;0;184;6
625000;0;185;6
626000;0;185;6
627000;0;187;6
628000;0;189;6
629000;0;184;6
630000;0;187;6
631000;0;189;6
632000;0;187;6
633000;0;185;6
634000;0;188;6
635000;0;186;6
636000;0;190;6
637000;0;187;6
638000;0;187;6
639000;0;190;6
640000;0;189;6
641000;0;190;6
642000;0;189;6
643000;0;189;6
644000;0;189;6
645000;0;189;6
646000;0;201;6
647000;0;190;6
648000;0;190;6
649000;0;190;6
650000;0;191;6
651000;0;202;6
652000;0;192;6
653000;0;192;6
654000;0;192;6
655000;0;192;6
656000;0;205;6
657000;0;193;6
658000;0;193;6
659000;0;193;6
660000;0;194;6
661000;0;194;6
662000;0;194;6
663000;0;194;6
664000;0;195;6
665000;0;195;6
666000;0;195;5
667000;0;195;6
668000;0;196;6
669000;0;197;6
670000;0;204;6
671000;0;197;6
672000;0;210;6
673000;0;198;6
674000;0;198;6
675000;0;198;6
676000;0;199;6
677000;0;198;6
678000;0;198;6
679000;0;199;6
680000;0;204;6
681000;0;206;6
682000;0;200;6
683000;0;201;7
684000;0;200;6
685000;0;201;6
686000;0;201;6
687000;0;202;6
688000;0;203;6
689000;0;202;6
690000;0;203;6
691000;0;204;6
692000;0;204;6
693000;0;204;6
694000;0;203;6
695000;0;203;6
696000;0;204;7
697000;0;205;6
698000;0;205;6
699000;0;206;6
700000;0;206;6
701000;0;217;6
702000;0;207;6
703000;0;208;6
704000;0;209;7
705000;0;208;6
706000;0;208;6
707000;0;208;6
708000;0;209;6
709000;0;209;7
710000;0;209;7
711000;0;209;6
712000;0;216;6
713000;0;210;6
714000;0;210;6
715000;0;211;7
716000;0;211;6
717000;0;212;7
718000;0;212;6
719000;0;212;7
720000;0;212;7
721000;0;213;7
722000;0;213;7
723000;0;213;7
724000;0;214;7
725000;0;214;6
726000;0;214;7
727000;0;234;7
728000;0;214;7
729000;0;215;7
730000;0;215;7
731000;0;215;7
732000;0;222;7
733000;0;220;6
734000;0;216;7
735000;0;217;7
736000;0;217;7
737000;0;224;8
738000;0;219;7
739000;0;217;6
740000;0;218;7
741000;0;218;7
742000;0;230;7
743000;0;219;7
744000;0;219;7
745000;0;222;7
746000;0;222;7
747000;0;220;7
748000;0;221;7
749000;0;221;7
750000;0;222;7
751000;0;222;7
